"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.20013,4,2,-536.48,10.743,-0.31626,0.50537,0.13265,0.025752,-0.19713,-0.20798,-0.039439
0.21943,12,2,-536.48,10.844,-0.057292,1.2028,0.14081,0.029162,-0.1803,-0.14351,0.045791
0.22647,20,2,-536.48,10.319,0.23563,2.0675,0.12324,0.024722,0.057296,0.042744,0.065123
0.21585,28,2,-536.48,10.351,0.18144,1.9669,0.12669,0.026103,0.20758,0.16815,-0.0035568
0.24583,36,2,-536.48,11.586,-0.03248,1.3507,0.19543,0.043653,0.12128,0.1222,0.03268
0.1807,44,2,-536.48,13.016,-0.12948,1.1523,0.22174,0.055558,0.040493,0.018751,-0.064719
0.17579,52,2,-536.48,13.193,-0.25176,1.5323,0.21867,0.055045,-0.17074,-0.079187,0.00016628
0.18716,60,2,-536.48,12.52,-0.48982,1.796,0.19585,0.047474,0.16735,0.071389,0.02015
0.19098,68,2,-536.48,12.158,-0.42631,1.5564,0.18022,0.042593,-0.07031,-0.010323,0.014257
0.16145,76,2,-536.48,11.566,0.019232,1.6647,0.14116,0.034738,0.051957,0.061524,-0.015613
0.15406,84,2,-536.48,9.9247,0.30642,1.9289,0.084223,0.017076,0.23163,0.19163,-0.017362
0.18182,92,2,-536.48,8.1065,0.31979,1.2573,0.047048,0.0068892,0.17132,0.10596,-0.084397
0.23822,100,2,-536.48,7.1248,0.43593,0.21182,0.033373,0.0040621,-0.28116,-0.22876,-0.013841
0.25961,108,2,-536.48,6.8717,0.60103,-0.17448,0.029505,0.0032946,-0.41927,-0.40935,-0.023226
0.25422,116,2,-536.48,7.0405,0.38226,0.14827,0.033723,0.0040982,-0.49785,-0.36985,0.044146
0.23432,124,2,-536.48,7.4256,-0.13379,0.44402,0.043107,0.0059022,0.19157,0.1058,0.11021
0.19953,132,2,-536.48,7.557,-0.34432,-0.0051171,0.039536,0.0049943,0.36634,0.26062,-0.079529
0.29926,140,2,-536.48,7.2549,0.00073625,-1.0238,0.039651,0.0049464,-0.093205,0.067847,0.044387
0.2832,148,2,-536.48,7.2285,0.34466,-1.5823,0.041529,0.0054155,0.41357,0.30095,0.10451
0.19941,156,2,-536.48,8.252,0.11688,-0.94987,0.058301,0.0093602,0.24465,0.21503,-0.10759
0.25586,164,2,-536.48,9.7766,-0.1996,0.20527,0.1164,0.022416,-0.10197,-0.034221,0.017284
0.2189,172,2,-536.48,10.598,-0.13748,0.54123,0.13679,0.030758,-0.042112,-0.052493,0.013262
